beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
RIPA - Rosemary Imperial Pale Ale,Beer Works,United States,,American IPA,,62,N/A,,3.48,N/A,7.50%,6
Terrier Scottish Ale,Beer Works,United States,,Scottish Ale,,62,86,,3.92,90,4.00%,12
Watermelon Ale,Beer Works,United States,,Fruit / Vegetable Beer,,62,79,,3.44,N/A,5.00%,38
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,American Amber / Red Ale,,87,N/A,,0,N/A,6.00%,0
Sir Dankly IPA,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,American IPA,,87,N/A,,0,N/A,6.90%,0
Southbridge Ordinary Bitter,Bentley Brewing Company / Dark Horse Tavern,Southbridge,MA,English Bitter,,87,N/A,,0,N/A,5.75%,0
Berkley IPA,Berkley Beer Company,Berkley,MA,American IPA,,131,82,,3.6,N/A,7.00%,10
Coffee Porter,Berkley Beer Company,Berkley,MA,American Porter,,131,N/A,,3.5,N/A,6.00%,6
Golden Ale,Berkley Beer Company,Berkley,MA,American Pale Ale (APA),,131,N/A,,3.54,N/A,5.00%,6
Berkshire Czech Pilsner,Berkshire Brewing Company Inc.,South Deerfield,MA,Czech Pilsener,,56,88,,3.97,N/A,5.50%,100
Lost Sailor India Pale Ale,Berkshire Brewing Company Inc.,South Deerfield,MA,English India Pale Ale (IPA),,56,88,,3.92,94,5.50%,407
River Ale,Berkshire Brewing Company Inc.,South Deerfield,MA,American Dark Wheat Ale,,56,88,,3.94,93,7.00%,163
Steel Rail Extra Pale Ale,Berkshire Brewing Company Inc.,South Deerfield,MA,American Pale Ale (APA),,56,82,,3.63,82,5.30%,330
Black Hops Beer,Blue Hills Brewery,Canton,MA,American Black Ale,,86,80,,3.5,84,6.75%,102
Blue Hills Double IPA,Blue Hills Brewery,Canton,MA,American Double / Imperial IPA,,86,90,,4.25,N/A,8.00%,14
Blue Hills India Pale Ale,Blue Hills Brewery,Canton,MA,American IPA,,86,72,,3.05,68,6.60%,91
Watermelon Wampatuck Wheat,Blue Hills Brewery,Canton,MA,Fruit / Vegetable Beer,,86,76,,3.26,N/A,4.80%,49
Belgian Blonde,Bog Iron Brewing,Norton,MA,Belgian Pale Ale,Belgian,108,N/A,,0,N/A,7.50%,0
Black Steam,Bog Iron Brewing,Norton,MA,California Common / Steam Beer,,108,N/A,,4,N/A,5.60%,1
Burly Blonde,Bog Iron Brewing,Norton,MA,American Blonde Ale,,108,N/A,,4,N/A,7.50%,1
Campout Mild,Bog Iron Brewing,Norton,MA,English Dark Mild Ale,,108,N/A,,4,N/A,3.50%,1
Dunkelweizen,Bog Iron Brewing,Norton,MA,Dunkelweizen,,108,N/A,,0,N/A,5.50%,0
Stinger,Bog Iron Brewing,Norton,MA,American IPA,,108,N/A,,4.17,N/A,7.40%,3
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),Jamaica Plain,MA,Vienna Lager,,134,85,,3.79,90,4.90%,4753
Samuel Adams ESB,Boston Beer Company (Samuel Adams),Jamaica Plain,MA,Extra Special / Strong Bitter (ESB),,134,N/A,,0,N/A,5.25%,0
Samuel Adams Honey Queen,Boston Beer Company (Samuel Adams),Jamaica Plain,MA,Braggot,,134,N/A,,2.88,N/A,7.50%,2
Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),Jamaica Plain,MA,Fruit / Vegetable Beer,,134,76,,3.32,79,4.50%,427
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),Jamaica Plain,MA,American Pale Wheat Ale,,134,77,,3.36,78,5.30%,2926
Samuel Adams Tetravis (Barrel Room Collection),Boston Beer Company (Samuel Adams),Jamaica Plain,MA,Quadrupel (Quad),,134,N/A,,3.92,90,10.20%,3
A Honey Of A Saison,Boulder Beer / Wilderness Pub,Boulder,CO,Belgian Strong Pale Ale,Belgian,42,80,,3.52,N/A,11.50%,57
Hazed & Infused,Boulder Beer / Wilderness Pub,Boulder,CO,American Pale Ale (APA),,42,84,,3.71,78,5.00%,1376
Kinda Blue Blueberry Wheat Beer,Boulder Beer / Wilderness Pub,Boulder,CO,Fruit / Vegetable Beer,,42,72,,3.11,N/A,5.50%,155
Mojo IPA,Boulder Beer / Wilderness Pub,Boulder,CO,American IPA,,42,86,,3.84,87,7.20%,1214
Mojo Risin' Double IPA,Boulder Beer / Wilderness Pub,Boulder,CO,American Double / Imperial IPA,,42,85,,3.78,64,10.50%,611
Sweaty Betty Blonde,Boulder Beer / Wilderness Pub,Boulder,CO,American Pale Wheat Ale,,42,79,,3.47,N/A,5.20%,496
80 Acre Hoppy Wheat,Boulevard Brewing Co.,Kansas City,MO,American Pale Wheat Ale,,89,89,,3.97,90,5.50%,356
Coffee Ale,Boulevard Brewing Co.,Kansas City,MO,American Strong Ale,,89,90,,4.06,N/A,9.30%,180
Saison-Brett,Boulevard Brewing Co.,Kansas City,MO,Saison / Farmhouse Ale,,89,96,,4.34,100,8.50%,1214
Tank 7 Farmhouse Ale,Boulevard Brewing Co.,Kansas City,MO,Saison / Farmhouse Ale,,89,93,,4.16,N/A,8.50%,1670
Fleur De Houblon,Brewery Ommegang,Cooperstown,NY,Belgian Pale Ale,Belgian,6,90,,4.07,N/A,6.80%,94
Hennepin (Farmhouse Saison),Brewery Ommegang,Cooperstown,NY,Saison / Farmhouse Ale,,6,93,,4.18,95,7.70%,3372
Ommegang (Abbey Ale),Brewery Ommegang,Cooperstown,NY,Dubbel,,6,93,,4.17,100,8.50%,2760
Ommegang Witte,Brewery Ommegang,Cooperstown,NY,Witbier,,6,85,,3.78,78,5.20%,1175
Rare Vos (Amber Ale),Brewery Ommegang,Cooperstown,NY,Belgian Pale Ale,Belgian,6,91,,4.07,98,6.50%,1720
Ambrewsia,Brewmaster Jack,Northampton,MA,American Double / Imperial IPA,,78,88,,4.01,N/A,7.70%,20
Aquila,Brewmaster Jack,Northampton,MA,American Pale Ale (APA),,78,N/A,,3.34,N/A,5.80%,4
Stray Dog Lager,Brewmaster Jack,Northampton,MA,American Amber / Red Lager,,78,85,,3.8,N/A,4.50%,14
Total Eclipse,Brewmaster Jack,Northampton,MA,American Porter,,78,80,,3.47,N/A,6.00%,18
Black Diamond Lager,Bridge Brew Works LLC,Fayetteville,WV,Schwarzbier,,88,86,,3.98,N/A,5.00%,11
Crux,Bridge Brew Works LLC,Fayetteville,WV,K̦lsch,,88,N/A,,4.16,N/A,5.70%,3
Derailleur Pale Ale,Bridge Brew Works LLC,Fayetteville,WV,American Pale Ale (APA),,88,N/A,,0,N/A,5.80%,0
Long Point Lager,Bridge Brew Works LLC,Fayetteville,WV,Dortmunder / Export Lager,,88,N/A,,3.65,N/A,4.61%,4
Brooklyn Local 1,Brooklyn Brewery,Brooklyn,NY,Belgian Strong Pale Ale,Belgian,7,92,,4.13,100,9.00%,1363
Brooklyn Local 2,Brooklyn Brewery,Brooklyn,NY,Belgian Strong Dark Ale,Belgian,7,91,,4.07,N/A,9.00%,890
Brooklyn Scorcher #366,Brooklyn Brewery,Brooklyn,NY,American IPA,,7,N/A,,4.25,N/A,4.50%,4
