beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Matilda,Goose Island Beer Co.,Chicago,IL,Belgian Strong Pale Ale,Belgian,143,90,,4.03,99,7.00%,2194
Minx,Goose Island Beer Co.,Chicago,IL,Belgian IPA,Belgian,143,88,,3.93,N/A,8.00%,124
Sofie Paradisi,Goose Island Beer Co.,Chicago,IL,Saison / Farmhouse Ale,,143,95,,4.35,N/A,6.70%,96
19th Anniversary Ale,Great Divide Brewing Company,Denver,CO,American Strong Ale,,73,84,,3.72,N/A,10.20%,67
Chocolate Oak Aged Yeti,Great Divide Brewing Company,Denver,CO,American Double / Imperial Stout,,73,94,,4.21,N/A,9.50%,1433
Colette Farmhouse Ale,Great Divide Brewing Company,Denver,CO,Saison / Farmhouse Ale,,73,86,,3.84,93,7.30%,654
Titan IPA,Great Divide Brewing Company,Denver,CO,American IPA,,73,92,,4.12,100,7.10%,2384
Green Flash Hop Head Red - Red India Pale Ale,Green Flash Brewing Co.,San Diego,CA,American IPA,,8,87,,3.89,N/A,7.00%,702
Green Flash Imperial Red Rye,Green Flash Brewing Co.,San Diego,CA,American Double / Imperial IPA,,8,90,,4.25,N/A,8.50%,14
Green Flash Le Freak,Green Flash Brewing Co.,San Diego,CA,Belgian IPA,Belgian,8,90,,4.04,N/A,9.20%,1211
Green Flash Saison Diego,Green Flash Brewing Co.,San Diego,CA,Saison / Farmhouse Ale,,8,83,,3.66,N/A,4.20%,206
Ciel Rouge A Nuit,Grey Sail Brewing of Rhode Island,Westerly,RI,Flanders Red Ale,,113,N/A,,3.26,N/A,5.50%,4
Flagship Ale,Grey Sail Brewing of Rhode Island,Westerly,RI,Cream Ale,,113,81,,3.56,N/A,4.50%,36
Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,Westerly,RI,American Pale Ale (APA),,113,89,,3.99,N/A,5.30%,67
Hazy Day Belgian Wit,Grey Sail Brewing of Rhode Island,Westerly,RI,Witbier,,113,N/A,,3.72,N/A,4.00%,6
Leaning Chimney Porter,Grey Sail Brewing of Rhode Island,Westerly,RI,American Porter,,113,81,,3.56,N/A,6.00%,27
Gritty McDuff's Best Bitter,Gritty McDuff's Brewing Company,Portland,ME,English Bitter,,17,83,,3.68,78,5.00%,139
Gritty McDuff's Black Fly Stout,Gritty McDuff's Brewing Company,Portland,ME,Irish Dry Stout,,17,86,,3.84,100,4.10%,249
Gritty McDuff's Maine's Best IPA,Gritty McDuff's Brewing Company,Portland,ME,American IPA,,17,75,,3.15,N/A,6.80%,41
Gritty McDuff's Vacationland Summer Ale,Gritty McDuff's Brewing Company,Portland,ME,American Blonde Ale,,17,77,,3.36,84,4.90%,123
ACBF 6th Anniversary Beer,Harpoon Brewery & Beer Hall,Boston,MA,American Pale Wheat Ale,,32,N/A,,2.75,N/A,5.00%,1
Harpoon Black IPA,Harpoon Brewery & Beer Hall,Boston,MA,American Black Ale,,32,84,,3.73,85,7.00%,206
Harpoon IPA,Harpoon Brewery & Beer Hall,Boston,MA,American IPA,,32,82,,3.63,89,5.90%,2210
Harpoon Leviathan - Imperial IPA,Harpoon Brewery & Beer Hall,Boston,MA,American Double / Imperial IPA,,32,91,,4.07,95,10.00%,1095
Harpoon Rich & Dan's Rye IPA,Harpoon Brewery & Beer Hall,Boston,MA,Rye Beer,,32,86,,3.81,81,6.90%,430
Harpoon White IPA,Harpoon Brewery & Beer Hall,Boston,MA,Belgian IPA,Belgian,32,87,,3.87,90,6.20%,160
Heavy Seas - Holy Sheet (Ãœber Abbey Ale),Heavy Seas Beer,Baltimore,MD,Belgian Strong Dark Ale,Belgian,27,82,,3.63,92,9.00%,302
Heavy Seas - Peg Leg Imperial Stout,Heavy Seas Beer,Baltimore,MD,Russian Imperial Stout,,27,83,,3.65,N/A,8.00%,903
Heavy Seas Loose Cannon - American Hop3 Ale,Heavy Seas Beer,Baltimore,MD,American IPA,,27,91,,4.06,N/A,7.25%,1944
Divine Brown,High & Mighty Beer Co.,Holyoke,MA,American Brown Ale,,13,N/A,,3.58,N/A,4.50%,8
Fumata Nera,High & Mighty Beer Co.,Holyoke,MA,Rye Beer,,13,85,,3.81,N/A,4.50%,19
Pas De Dieux,High & Mighty Beer Co.,Holyoke,MA,Saison / Farmhouse Ale,,13,86,,3.87,N/A,4.50%,28
XPA (Extra Pale Ale),High & Mighty Beer Co.,Holyoke,MA,American Pale Ale (APA),,13,80,,3.48,80,5.00%,65
Another Lover IPA,High Horse Brewing,Amherst,MA,American IPA,,121,N/A,,4.5,N/A,6.50%,1
Beastie,High Horse Brewing,Amherst,MA,Rye Beer,,121,N/A,,3.75,N/A,5.25%,1
Lady K,High Horse Brewing,Amherst,MA,American Pale Ale (APA),,121,N/A,,4.25,N/A,5.50%,1
Mr White,High Horse Brewing,Amherst,MA,Witbier,,121,N/A,,0,N/A,4.75%,0
Satisfaction IPA,High Horse Brewing,Amherst,MA,American IPA,,121,N/A,,3.98,N/A,7.20%,7
The Minx,High Horse Brewing,Amherst,MA,Saison / Farmhouse Ale,,121,N/A,,3.63,N/A,6.50%,4
D'aison,Idle Hands Craft Ales,Everett,MA,Saison / Farmhouse Ale,,123,N/A,,3.6,N/A,6.70%,5
Pandora,Idle Hands Craft Ales,Everett,MA,Belgian Pale Ale,Belgian,123,84,,3.75,87,6.00%,45
Triplication,Idle Hands Craft Ales,Everett,MA,Tripel,,123,85,,3.8,N/A,9.00%,30
Ipswich India Pale Ale (I.P.A.),Ipswich Ale Brewery,Ipswich,MA,American IPA,,18,87,,3.88,92,6.50%,348
Ipswich Oatmeal Stout,Ipswich Ale Brewery,Ipswich,MA,Oatmeal Stout,,18,93,,4.19,100,7.00%,541
Ipswich Summer Ale,Ipswich Ale Brewery,Ipswich,MA,American Blonde Ale,,18,84,,3.75,89,4.90%,81
Local Harvest Five Mile Equinox Pale Ale,Ipswich Ale Brewery,Ipswich,MA,American Pale Ale (APA),,18,N/A,,4.03,N/A,4.80%,6
Apricot Wheat,Ithaca Beer Company,Ithaca,NY,Fruit / Vegetable Beer,,92,74,,3.2,N/A,4.90%,489
Cascazilla,Ithaca Beer Company,Ithaca,NY,American Amber / Red Ale,,92,87,,3.88,N/A,7.00%,826
Flower Power India Pale Ale,Ithaca Beer Company,Ithaca,NY,American IPA,,92,95,,4.26,95,7.50%,2295
White Gold,Ithaca Beer Company,Ithaca,NY,American Pale Wheat Ale,,92,89,,3.96,82,7.50%,258
Cascadian Schwarzbier,Jack's Abby Brewing,Framingham,MA,Schwarzbier,,46,91,,4.08,N/A,7.00%,140
Hoponius Union,Jack's Abby Brewing,Framingham,MA,American Pale Lager,,46,97,,4.37,95,6.70%,678
Leisure Time Lager,Jack's Abby Brewing,Framingham,MA,Witbier,,46,87,,3.9,N/A,4.80%,80
Smoked Maple Lager (Collaboration W/ Lawson's),Jack's Abby Brewing,Framingham,MA,Rauchbier,,46,86,,3.84,90,6.00%,100
American Bitter,John Harvard's Brewery & Ale House,Cambridge,MA,American Amber / Red Ale,,84,N/A,,0,N/A,4.50%,0
Garden Saison,John Harvard's Brewery & Ale House,Cambridge,MA,Saison / Farmhouse Ale,,84,N/A,,0,N/A,4.80%,0
Mayfair Maibock,John Harvard's Brewery & Ale House,Cambridge,MA,Maibock / Helles Bock,,84,N/A,,4.75,N/A,7.00%,1
Saint Raphael I.P.A.,John Harvard's Brewery & Ale House,Cambridge,MA,American IPA,,84,N/A,,0,N/A,7.00%,0
Kennebec Logger,Kennebec River Brewery,The Forks Plt,ME,Euro Pale Lager,,125,N/A,,3.76,N/A,5.80%,2
Magic Hole IPA,Kennebec River Brewery,The Forks Plt,ME,American IPA,,125,82,,3.62,N/A,5.80%,35
Penobscot Porter,Kennebec River Brewery,The Forks Plt,ME,American Porter,,125,89,,4.26,N/A,8.00%,10
Sledhead Red,Kennebec River Brewery,The Forks Plt,ME,American Amber / Red Ale,,125,82,,3.58,N/A,5.20%,13
Big Wave Golden Ale,Kona Brewing Co.,Kailua Kona,HI,American Blonde Ale,,68,80,,3.54,N/A,4.40%,294
Longboard Island Lager,Kona Brewing Co.,Kailua Kona,HI,American Pale Lager,,68,78,,3.4,81,4.60%,1083
Wailua Wheat,Kona Brewing Co.,Kailua Kona,HI,American Pale Wheat Ale,,68,77,,3.35,71,5.40%,592
Boston Fusion 14,Lagunitas Brewing Company,Petaluma,CA,Rye Beer,,37,N/A,,4.25,N/A,8.75%,3
Hop Stoopid,Lagunitas Brewing Company,Petaluma,CA,American Double / Imperial IPA,,37,94,,4.21,90,8.00%,3925
Lagunitas Imperial Stout,Lagunitas Brewing Company,Petaluma,CA,Russian Imperial Stout,,37,83,,3.67,N/A,9.90%,790
Lagunitas IPA,Lagunitas Brewing Company,Petaluma,CA,American IPA,,37,88,,3.9,N/A,6.20%,3287
Fade To Black IPA,Lake Placid Craft Brewing Company,Lake Placid,NY,American Black Ale,,36,N/A,,0,N/A,6.20%,0
Lake Placid India Pale Ale,Lake Placid Craft Brewing Company,Lake Placid,NY,American IPA,,36,84,,3.7,N/A,6.80%,215
Maple Sap Ubu,Lake Placid Craft Brewing Company,Lake Placid,NY,English Strong Ale,,36,N/A,,0,N/A,7.00%,0
UBU Ale,Lake Placid Craft Brewing Company,Lake Placid,NY,English Strong Ale,,36,84,,3.71,75,7.00%,429
Chinooker'd IPA,Lawson's Finest Liquids,Warren,VT,American IPA,,3,95,,4.28,N/A,6.90%,197
Double Sunshine IPA,Lawson's Finest Liquids,Warren,VT,American Double / Imperial IPA,,3,100,,4.63,N/A,8.00%,631
Finest Smoked Maple Lager,Lawson's Finest Liquids,Warren,VT,Smoked Beer,,3,N/A,,3.55,N/A,6.50%,5
Spring Fever Session IPA,Lawson's Finest Liquids,Warren,VT,American IPA,,3,88,,4,N/A,3.30%,44
Good Juju (Ginger Ale),Left Hand Brewing Company,Longmont,CO,Herbed / Spiced Beer,,24,77,,3.36,86,4.00%,605
Left Hand Milk Stout,Left Hand Brewing Company,Longmont,CO,Milk / Sweet Stout,,24,89,,3.98,N/A,6.00%,3401
Polestar Pilsner,Left Hand Brewing Company,Longmont,CO,German Pilsener,,24,82,,3.63,96,5.50%,581
Sawtooth Ale,Left Hand Brewing Company,Longmont,CO,Extra Special / Strong Bitter (ESB),,24,84,,3.73,94,5.30%,1185
St. Vrain Tripel,Left Hand Brewing Company,Longmont,CO,Tripel,,24,84,,3.71,N/A,9.00%,88
Twin Sisters Double IPA,Left Hand Brewing Company,Longmont,CO,American Double / Imperial IPA,,24,85,,3.78,83,9.60%,291
Week Sauce Coffee Porter,Left Hand Brewing Company,Longmont,CO,American Porter,,24,87,,3.93,N/A,6.00%,60
Batch #3 - Milk Stout (Brown Bag Series),Long Trail Brewing Co.,Bridgewaters Corners,VT,Milk / Sweet Stout,,111,84,,3.73,N/A,5.40%,13
Batch #4 - Maple Maibock (Brown Bag Series),Long Trail Brewing Co.,Bridgewaters Corners,VT,Maibock / Helles Bock,,111,N/A,,4.24,N/A,6.50%,4
Belgian White,Long Trail Brewing Co.,Bridgewaters Corners,VT,Witbier,,111,79,,3.47,74,4.70%,284
Long Trail Ale,Long Trail Brewing Co.,Bridgewaters Corners,VT,Altbier,,111,81,,3.59,N/A,4.60%,684
Jamaica Red Ale,Mad River Brewing Company,Blue Lake,CA,American Amber / Red Ale,,115,87,,3.88,98,6.50%,333
Jamaica Sunset India Pale Ale,Mad River Brewing Company,Blue Lake,CA,American IPA,,115,82,,3.6,90,7.00%,183
Steelhead Double India Pale Ale,Mad River Brewing Company,Blue Lake,CA,American Double / Imperial IPA,,115,86,,3.83,85,8.60%,562
Steelhead Extra Pale Ale,Mad River Brewing Company,Blue Lake,CA,American Pale Ale (APA),,115,81,,3.56,89,5.60%,274
Steelhead Extra Stout,Mad River Brewing Company,Blue Lake,CA,American Stout,,115,90,,4.05,94,6.60%,384
Steelhead Scotch Porter,Mad River Brewing Company,Blue Lake,CA,English Porter,,115,88,,3.95,94,6.50%,262
#9,Magic Hat Brewing Company,South Burlington,VT,Fruit / Vegetable Beer,,35,78,,3.41,74,5.10%,3204
Artifactory Series: Honey Wheat IPA,Magic Hat Brewing Company,South Burlington,VT,American IPA,,35,N/A,,3.98,N/A,6.60%,5
Blind Faith,Magic Hat Brewing Company,South Burlington,VT,English India Pale Ale (IPA),,35,82,,3.61,77,6.20%,827
Circus Boy,Magic Hat Brewing Company,South Burlington,VT,American Pale Wheat Ale,,35,78,,3.42,88,4.50%,1145
Elder Betty,Magic Hat Brewing Company,South Burlington,VT,Hefeweizen,,35,77,,3.35,71,5.50%,483
Humdinger Series: Over The Pils,Magic Hat Brewing Company,South Burlington,VT,American Double / Imperial Pilsner,,35,82,,3.62,N/A,8.10%,74
Meatwhistle Imperial Stout,Magic Hat Brewing Company,South Burlington,VT,American Double / Imperial Stout,,35,N/A,,4.17,N/A,10.50%,6
King Titus,Maine Beer Company,Portland,ME,American Porter,,30,93,,4.17,N/A,7.50%,343
Lunch,Maine Beer Company,Portland,ME,American IPA,,30,97,,4.38,94,7.00%,1081
MO,Maine Beer Company,Portland,ME,American Pale Ale (APA),,30,95,,4.29,100,6.00%,561
C-Dah Pilz,Martha's Exchange,Nashua,NH,German Pilsener,,75,N/A,,0,N/A,5.20%,0
Le Mystique Magnifique,Martha's Exchange,Nashua,NH,Belgian Strong Pale Ale,Belgian,75,N/A,,0,N/A,8.70%,0
Olde London Stout,Martha's Exchange,Nashua,NH,English Stout,,75,N/A,,0,N/A,6.50%,0
Summah Bock,Martha's Exchange,Nashua,NH,Maibock / Helles Bock,,75,N/A,,3.65,N/A,7.00%,1
Saranac Blueberry Blonde Ale,Matt Brewing Company,Utica,NY,Fruit / Vegetable Beer,,11,77,,3.35,N/A,5.00%,139
Saranac Pale Ale,Matt Brewing Company,Utica,NY,English Pale Ale,,11,78,,3.44,80,5.50%,807
Saranac Shandy,Matt Brewing Company,Utica,NY,Fruit / Vegetable Beer,,11,72,,2.96,N/A,4.20%,32
Saranac White IPA,Matt Brewing Company,Utica,NY,Belgian IPA,Belgian,11,85,,3.77,86,6.00%,324
Mayflower Golden Ale,Mayflower Brewing Company,Plymouth,MA,American Blonde Ale,,100,82,,3.64,90,4.70%,117
Mayflower IPA,Mayflower Brewing Company,Plymouth,MA,American IPA,,100,88,,3.93,84,7.00%,333
Mayflower Pale Ale,Mayflower Brewing Company,Plymouth,MA,English Pale Ale,,100,83,,3.65,84,4.90%,129
Mayflower Porter,Mayflower Brewing Company,Plymouth,MA,English Porter,,100,93,,4.17,100,5.50%,325
Mayflower Summer Rye,Mayflower Brewing Company,Plymouth,MA,Rye Beer,,100,81,,3.54,N/A,3.80%,99
Moat Matilda's Red Ale,Moat Mountain Smoke House & Brewing Co.,North Conway,NH,American Amber / Red Ale,,127,N/A,,3.79,N/A,5.40%,3
Moat Munich Helles Lager,Moat Mountain Smoke House & Brewing Co.,North Conway,NH,Munich Helles Lager,,127,N/A,,3.62,N/A,4.70%,6
Moat Scottie's IPA,Moat Mountain Smoke House & Brewing Co.,North Conway,NH,American IPA,,127,87,,3.92,N/A,7.00%,27
Moat Square Tail Stout,Moat Mountain Smoke House & Brewing Co.,North Conway,NH,Foreign / Export Stout,,127,89,,4.02,N/A,5.80%,42
Day Of Doom,Mystic Brewery,Chelsea,MA,Quadrupel (Quad),,129,85,,3.79,N/A,12.00%,38
Entropy,Mystic Brewery,Chelsea,MA,American Barleywine,,129,87,,3.97,90,14.20%,22
Mary Of The Gael,Mystic Brewery,Chelsea,MA,Saison / Farmhouse Ale,,129,89,,4.16,N/A,6.70%,18
Welkin Ringer,Mystic Brewery,Chelsea,MA,Extra Special / Strong Bitter (ESB),,129,N/A,,4.25,95,5.80%,1
Narragansett Bock,Narragansett Brewing Co.,Providence,RI,Maibock / Helles Bock,,91,86,,3.85,95,6.50%,200
Narragansett Cream Ale,Narragansett Brewing Co.,Providence,RI,Cream Ale,,91,81,,3.54,85,5.00%,137
Narragansett Lager,Narragansett Brewing Co.,Providence,RI,American Adjunct Lager,,91,78,,3.41,88,5.00%,523
Narragansett Summer Ale,Narragansett Brewing Co.,Providence,RI,American Blonde Ale,,91,85,,3.8,80,4.20%,227
Black Xantus,Nectar Ales,Paso Robles,CA,American Double / Imperial Stout,,40,92,,4.15,N/A,11.00%,565
Humboldt Brown (Hemp Ale),Nectar Ales,Paso Robles,CA,American Brown Ale,,40,79,,3.47,N/A,5.70%,304
Nectar IPA,Nectar Ales,Paso Robles,CA,American IPA,,40,87,,3.85,N/A,6.80%,447
Red Nectar,Nectar Ales,Paso Robles,CA,American Amber / Red Ale,,40,83,,3.67,N/A,5.50%,351
Newburgh C.A.F.E. Sour,Newburgh Brewing Company,Newburgh,NY,American Amber / Red Ale,,97,N/A,,4.23,N/A,5.20%,5
Newburgh Chili Lime Stout,Newburgh Brewing Company,Newburgh,NY,American Stout,,97,N/A,,0,N/A,4.20%,0
Newburgh Cream Ale,Newburgh Brewing Company,Newburgh,NY,Cream Ale,,97,86,,3.96,93,4.20%,13
Newburgh Paper Box Pale Ale,Newburgh Brewing Company,Newburgh,NY,American Pale Ale (APA),,97,N/A,,4.25,94,4.50%,7
The Newburgh Conspiracy,Newburgh Brewing Company,Newburgh,NY,Russian Imperial Stout,,97,N/A,,4.12,N/A,11.00%,3
Newburyport Green Head IPA,Newburyport Brewing Company,Newburyport,MA,American IPA,,142,85,,3.82,90,7.20%,22
Newburyport Pale Ale,Newburyport Brewing Company,Newburyport,MA,American Pale Ale (APA),,142,N/A,,3.76,N/A,5.50%,6
Plum Island Belgian White,Newburyport Brewing Company,Newburyport,MA,Witbier,,142,86,,3.95,N/A,5.40%,11
Ever Weisse,Night Shift Brewing,Everett,MA,Berliner Weissbier,,102,92,,4.26,N/A,5.50%,36
Honeydew,Night Shift Brewing,Everett,MA,Saison / Farmhouse Ale,,102,N/A,,3.73,N/A,6.80%,9
Snow,Night Shift Brewing,Everett,MA,American Stout,,102,81,,3.47,N/A,4.50%,15
Tripel Reserve,Night Shift Brewing,Everett,MA,Tripel,,102,N/A,,0,N/A,8.70%,0
Viva Habanera,Night Shift Brewing,Everett,MA,Rye Beer,,102,86,,3.87,N/A,7.00%,65
Coco Loco,NoDa Brewing Company,Charlotte,NC,American Porter,,110,89,,4.04,N/A,6.20%,68
"Hop, Drop â€˜n Roll",NoDa Brewing Company,Charlotte,NC,American IPA,,110,94,,4.35,90,7.20%,47
Jam Session,NoDa Brewing Company,Charlotte,NC,American Pale Ale (APA),,110,86,,3.87,85,5.10%,19
Word To Your Mother,NoDa Brewing Company,Charlotte,NC,Saison / Farmhouse Ale,,110,N/A,,4,N/A,6.00%,6
Brother Thelonious,North Coast Brewing Co.,Fort Bragg,CA,Belgian Strong Dark Ale,Belgian,5,85,,3.77,75,9.40%,1563
Class Of '88 Barleywine Style Ale,North Coast Brewing Co.,Fort Bragg,CA,American Barleywine,,5,86,,3.86,N/A,10.00%,37
Le Merle,North Coast Brewing Co.,Fort Bragg,CA,Saison / Farmhouse Ale,,5,88,,3.91,N/A,7.90%,666
Old Stock Ale,North Coast Brewing Co.,Fort Bragg,CA,Old Ale,,5,92,,4.11,94,11.90%,1843
Pranqster,North Coast Brewing Co.,Fort Bragg,CA,Belgian Strong Pale Ale,Belgian,5,90,,4.02,100,7.60%,1793
Battenkill Ale,Northshire Brewery,Bennington,VT,American Amber / Red Ale,,29,N/A,,3.45,N/A,5.70%,5
Chocolate Stout,Northshire Brewery,Bennington,VT,English Stout,,29,75,,3.07,N/A,6.00%,23
Northshire Hefeweizen,Northshire Brewery,Bennington,VT,American Pale Wheat Ale,,29,N/A,,3.48,N/A,5.20%,5
Northshire Whiskey Porter,Northshire Brewery,Bennington,VT,American Porter,,29,N/A,,0,N/A,7.00%,0
Notch Brett Saison,Notch Brewing,Ipswich,MA,Saison / Farmhouse Ale,,93,N/A,,0,N/A,3.80%,0
Notch KvasnicovÃ© Lager (Gravity Pour),Notch Brewing,Ipswich,MA,Czech Pilsener,,93,N/A,,0,N/A,4.00%,0
Notch Saison,Notch Brewing,Ipswich,MA,Saison / Farmhouse Ale,,93,83,,3.65,N/A,3.80%,59
Notch Session Ale,Notch Brewing,Ipswich,MA,American Pale Ale (APA),,93,83,,3.64,80,4.50%,62
Abel's Hill India Dark Ale,Offshore Ale Company,Oak Bluffs,MA,American Black Ale,,38,85,,3.84,N/A,6.30%,14
East Chop Lighthouse,Offshore Ale Company,Oak Bluffs,MA,American Blonde Ale,,38,77,,3.22,N/A,4.70%,23
Lazy Frog IPA,Offshore Ale Company,Oak Bluffs,MA,American IPA,,38,N/A,,4.75,N/A,7.00%,1
Menemsha Creek Pale Ale,Offshore Ale Company,Oak Bluffs,MA,American Pale Ale (APA),,38,80,,3.44,N/A,5.00%,21
A-10 Warthog Double IPA,OPA-OPA Steakhouse & Brewery,Southampton,MA,American Double / Imperial IPA,,137,86,,3.84,N/A,10.00%,61
Opa Opa IPA,OPA-OPA Steakhouse & Brewery,Southampton,MA,American IPA,,137,82,,3.64,80,6.00%,169
Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,Southampton,MA,American Amber / Red Ale,,137,82,,3.63,82,6.00%,96
Watermelon Ale,OPA-OPA Steakhouse & Brewery,Southampton,MA,Fruit / Vegetable Beer,,137,N/A,,3.46,N/A,4.50%,9
Dale's Pale Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,American Pale Ale (APA),,10,89,,3.95,81,6.50%,3254
Deviant Dale's IPA,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,American IPA,,10,90,,4.04,N/A,8.00%,1517
G'Knight Imperial Red Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,American Double / Imperial IPA,,10,92,,4.13,90,8.70%,2071
GUBNA Imperial IPA,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,American Double / Imperial IPA,,10,85,,3.76,N/A,10.00%,1436
Mama's Little Yella Pils,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,Czech Pilsener,,10,82,,3.61,84,5.30%,1264
Old Chub - Scottish Style Ale,Oskar Blues Brewery & Tasty Weasel Tap Room,Longmont,CO,Scotch Ale / Wee Heavy,,10,90,,4.01,90,8.00%,2377
Otter Creek Copper Ale,Otter Creek Brewing / Wolaver's,Middlebury,VT,Altbier,,112,82,,3.62,91,5.00%,572
Otter Creek Hop Session Ale,Otter Creek Brewing / Wolaver's,Middlebury,VT,American Pale Ale (APA),,112,83,,3.69,N/A,4.25%,88
Otter Creek Russian Imperial Stout,Otter Creek Brewing / Wolaver's,Middlebury,VT,Russian Imperial Stout,,112,89,,3.98,N/A,10.00%,368
Otter Creek Vermont Lager,Otter Creek Brewing / Wolaver's,Middlebury,VT,German Pilsener,,112,82,,3.61,91,5.00%,87
Farmhouse Pale Ale,Oxbow Brewing Company,Newcastle,ME,Saison / Farmhouse Ale,,105,93,,4.2,N/A,6.00%,97
Freestyle Series #15,Oxbow Brewing Company,Newcastle,ME,American Pale Ale (APA),,105,N/A,,0,N/A,4.00%,0
Funkhaus,Oxbow Brewing Company,Newcastle,ME,Belgian IPA,Belgian,105,89,,4.14,N/A,7.50%,18
Loretta,Oxbow Brewing Company,Newcastle,ME,Saison / Farmhouse Ale,,105,88,,4.02,N/A,4.00%,18
Pioneer American India Pale Ale,Pioneer Brewing Co.,Sturbridge,MA,American IPA,,116,N/A,,3.74,N/A,5.30%,8
Pioneer Into The Woods,Pioneer Brewing Co.,Sturbridge,MA,Vienna Lager,,116,N/A,,3.93,N/A,9.00%,5
Pioneer Path Of The Unknown,Pioneer Brewing Co.,Sturbridge,MA,American Brown Ale,,116,N/A,,4.09,N/A,10.00%,3
Pioneer The New Frontier Double California IPA,Pioneer Brewing Co.,Sturbridge,MA,American Double / Imperial IPA,,116,N/A,,3.95,N/A,11.00%,6
Maniacal Double IPA,Port City Brewing,Alexandria,VA,American Double / Imperial IPA,,82,85,,3.81,N/A,8.50%,19
Monumental IPA,Port City Brewing,Alexandria,VA,American IPA,,82,79,,3.45,82,6.30%,130
Optimal Wit,Port City Brewing,Alexandria,VA,Witbier,,82,84,,3.74,83,5.00%,107
Porter,Port City Brewing,Alexandria,VA,American Porter,,82,90,,4.06,89,7.50%,200
Big Boy Birch Stout,Port Jeff Brewing Company,Port Jefferson,NY,American Stout,,126,N/A,,3.83,N/A,8.00%,5
Party Boat IPA,Port Jeff Brewing Company,Port Jefferson,NY,American IPA,,126,N/A,,3.98,N/A,7.20%,1
Tripel H,Port Jeff Brewing Company,Port Jefferson,NY,Tripel,,126,83,,3.7,N/A,10.10%,12
White's Beach Wit,Port Jeff Brewing Company,Port Jefferson,NY,Witbier,,126,N/A,,3.9,N/A,5.40%,7
Chroma,Portico Brewing Co.,Waltham,MA,Rye Beer,,57,N/A,,0,N/A,6.10%,0
Fuzzy Logic,Portico Brewing Co.,Waltham,MA,KÃ¶lsch,,57,N/A,,3.5,N/A,5.40%,2
Sett Seven,Portico Brewing Co.,Waltham,MA,Scotch Ale / Wee Heavy,,57,N/A,,0,N/A,7.70%,0
Wavelength,Portico Brewing Co.,Waltham,MA,American Pale Ale (APA),,57,N/A,,0,N/A,6.20%,0
Breakfast At Tig's Before During & After Thanksgiving Morning Abbey Ale,Post Road Tavern / Rocky Coast Brewing,Ogunquit,ME,Belgian Strong Dark Ale,Belgian,65,N/A,,4,90,7.80%,1
Lone Warrior IPA,Post Road Tavern / Rocky Coast Brewing,Ogunquit,ME,American IPA,,65,N/A,,2.92,85,7.20%,3
The Boomer German-Style Light Ale,Post Road Tavern / Rocky Coast Brewing,Ogunquit,ME,KÃ¶lsch,,65,N/A,,0,N/A,5.20%,0
The Duke Coffee Milk Stout,Post Road Tavern / Rocky Coast Brewing,Ogunquit,ME,Milk / Sweet Stout,,65,N/A,,3.75,85,5.20%,1
American Darling,Pretty Things Beer & Ale Project,Cambridge,MA,American Pale Lager,,1,89,,3.99,N/A,7.00%,190
Baby Tree,Pretty Things Beer & Ale Project,Cambridge,MA,Quadrupel (Quad),,1,88,,3.9,N/A,9.00%,544
"December 6th, 1855 EIP",Pretty Things Beer & Ale Project,Cambridge,MA,English Porter,,1,92,,4.16,95,6.00%,160
Field Mouse's Farewell,Pretty Things Beer & Ale Project,Cambridge,MA,Saison / Farmhouse Ale,,1,89,,3.98,N/A,7.00%,256
Fluffy White Rabbits,Pretty Things Beer & Ale Project,Cambridge,MA,Tripel,,1,91,,4.07,N/A,8.50%,335
Jack D'or,Pretty Things Beer & Ale Project,Cambridge,MA,Saison / Farmhouse Ale,,1,91,,4.08,96,6.40%,984
Once Upon A Time 1832 XXXX Mild Ale,Pretty Things Beer & Ale Project,Cambridge,MA,English Pale Mild Ale,,1,82,,3.59,N/A,10.50%,17
Once Upon A Time 1879 East India Pale Ale,Pretty Things Beer & Ale Project,Cambridge,MA,English India Pale Ale (IPA),,1,87,,3.94,N/A,5.90%,37
Once Upon A Time 1901 KK,Pretty Things Beer & Ale Project,Cambridge,MA,English Strong Ale,,1,87,,3.89,N/A,7.80%,134
Once Upon A Time 1939 No. 1 Ale,Pretty Things Beer & Ale Project,Cambridge,MA,Scottish Ale,,1,89,,4.16,N/A,6.70%,17
Our Finest Regards,Pretty Things Beer & Ale Project,Cambridge,MA,English Barleywine,,1,91,,4.07,89,13.50%,332
Saint Botolph's Town,Pretty Things Beer & Ale Project,Cambridge,MA,English Brown Ale,,1,91,,4.1,94,5.90%,455
"X Ale, 22nd February 1945",Pretty Things Beer & Ale Project,Cambridge,MA,English Dark Mild Ale,,1,82,,3.59,N/A,2.80%,79
"X Ale, 22nd November 1838",Pretty Things Beer & Ale Project,Cambridge,MA,English Strong Ale,,1,84,,3.75,N/A,7.40%,74
