Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Barrett's Farmhouse Ale,Battle Road Brewing Company,"Stoughton, MA",140,N/A,3.58,9,N/A,Saison / Farmhouse Ale,5.50%,http://beeradvocate.com/beer/profile/30910/92156
Lexington Green East India Pale Ale,Battle Road Brewing Company,"Stoughton, MA",140,83,3.66,12,N/A,American IPA,5.70%,http://beeradvocate.com/beer/profile/30910/92061
Amber Road Amber Ale,Baxter Brewing Co.,"Lewiston, ME",114,82,3.61,86,87,American Amber / Red Ale,5.50%,http://beeradvocate.com/beer/profile/23922/74632
Pamola Xtra Pale Ale,Baxter Brewing Co.,"Lewiston, ME",114,81,3.55,131,84,American Pale Ale (APA),4.90%,http://beeradvocate.com/beer/profile/23922/65518
Stowaway I.P.A.,Baxter Brewing Co.,"Lewiston, ME",114,87,3.89,306,87,American IPA,6.90%,http://beeradvocate.com/beer/profile/23922/65842
Summer Swelter Ale,Baxter Brewing Co.,"Lewiston, ME",114,84,3.74,51,N/A,Herbed / Spiced Beer,4.70%,http://beeradvocate.com/beer/profile/23922/80552
Black Racer,Bear Republic Brewing Co.,"Healdsburg, CA",72,88,3.96,165,N/A,American Black Ale,8.10%,http://beeradvocate.com/beer/profile/610/71451
Cher Ami,Bear Republic Brewing Co.,"Healdsburg, CA",72,81,3.42,10,N/A,Belgian Pale Ale,4.70%,http://beeradvocate.com/beer/profile/610/67386
Hop Rod Rye,Bear Republic Brewing Co.,"Healdsburg, CA",72,95,4.27,3226,100,American IPA,8.00%,http://beeradvocate.com/beer/profile/610/3158
Racer 5 India Pale Ale,Bear Republic Brewing Co.,"Healdsburg, CA",72,94,4.22,4337,94,American IPA,7.00%,http://beeradvocate.com/beer/profile/610/2751
Back Bay IPA,Beer Works,United States,62,86,3.84,103,98,American IPA,6.80%,http://beeradvocate.com/beer/profile/9343/552
Barrel Aged Oud Bruin (Sour),Beer Works,United States,62,N/A,0,0,N/A,Flanders Oud Bruin,8.00%,http://beeradvocate.com/beer/profile/9343/93391
Bunker Hill Blueberry Ale,Beer Works,United States,62,82,3.59,70,85,Fruit / Vegetable Beer,4.80%,http://beeradvocate.com/beer/profile/9343/553
Old Ironsides English Old Ale,Beer Works,United States,62,N/A,3.77,2,N/A,Old Ale,7.50%,http://beeradvocate.com/beer/profile/9343/93553
RIPA - Rosemary Imperial Pale Ale,Beer Works,United States,62,N/A,3.48,6,N/A,American IPA,7.50%,http://beeradvocate.com/beer/profile/9343/80557
Terrier Scottish Ale,Beer Works,United States,62,86,3.92,12,90,Scottish Ale,4.00%,http://beeradvocate.com/beer/profile/9343/3140
Watermelon Ale,Beer Works,United States,62,79,3.44,38,N/A,Fruit / Vegetable Beer,5.00%,http://beeradvocate.com/beer/profile/9343/11096
Hooligan Amber Ale,Bentley Brewing Company / Dark Horse Tavern,"Southbridge, MA",87,N/A,0,0,N/A,American Amber / Red Ale,6.00%,http://beeradvocate.com/beer/profile/27036/93308
Sir Dankly IPA,Bentley Brewing Company / Dark Horse Tavern,"Southbridge, MA",87,N/A,0,0,N/A,American IPA,6.90%,http://beeradvocate.com/beer/profile/27036/93310
Southbridge Ordinary Bitter,Bentley Brewing Company / Dark Horse Tavern,"Southbridge, MA",87,N/A,0,0,N/A,English Bitter,5.75%,http://beeradvocate.com/beer/profile/27036/93309
