Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Apollo,Sixpoint Brewery,"Brooklyn, NY",4,88,3.94,421,95,Kristalweizen,5.20%,http://beeradvocate.com/beer/profile/10607/80745
Killer Crisp,Sixpoint Brewery,"Brooklyn, NY",4,87,4.06,12,95,American Double / Imperial Pilsner,7.00%,http://beeradvocate.com/beer/profile/10607/91998
Smuttynose Farmhouse Ale (Big Beer Series),Smuttynose Brewing Company,"Portsmouth, NH",12,87,3.88,462,90,Saison / Farmhouse Ale,8.20%,http://beeradvocate.com/beer/profile/141/28305
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,"Portsmouth, NH",12,92,4.13,2734,100,American IPA,6.90%,http://beeradvocate.com/beer/profile/141/16403
Smuttynose Robust Porter,Smuttynose Brewing Company,"Portsmouth, NH",12,93,4.16,1461,97,American Porter,6.20%,http://beeradvocate.com/beer/profile/141/622
Flower Envy,Somerville Brewing Company (Slumbrew),"Somerville, MA",94,86,3.85,36,85,Saison / Farmhouse Ale,6.00%,http://beeradvocate.com/beer/profile/27016/84670
Slumbrew Flagraiser IPA,Somerville Brewing Company (Slumbrew),"Somerville, MA",94,87,3.9,197,88,American IPA,7.50%,http://beeradvocate.com/beer/profile/27016/74815
Slumbrew My Better Half,Somerville Brewing Company (Slumbrew),"Somerville, MA",94,88,3.95,64,80,Cream Ale,7.20%,http://beeradvocate.com/beer/profile/27016/78278
Levitation Ale,Stone Brewing Co.,"Escondido, CA",45,88,3.9,2301,89,American Amber / Red Ale,4.40%,http://beeradvocate.com/beer/profile/147/6301
Duck-Rabbit Barleywine Ale,The Duck-Rabbit Craft Brewery,"Farmville, NC",104,86,3.8,445,94,English Barleywine,11.00%,http://beeradvocate.com/beer/profile/9790/34284
Duck-Rabbit Wee Heavy Scotch Style Ale,The Duck-Rabbit Craft Brewery,"Farmville, NC",104,87,3.89,346,90,Scotch Ale / Wee Heavy,8.00%,http://beeradvocate.com/beer/profile/9790/30521
Captain James Jack Pilsner,The Olde Mecklenburg Brewery,"Charlotte, NC",54,88,3.96,44,95,German Pilsener,4.80%,http://beeradvocate.com/beer/profile/19247/68984
Dunkel Lager,The Olde Mecklenburg Brewery,"Charlotte, NC",54,90,4.08,50,95,Munich Dunkel Lager,4.90%,http://beeradvocate.com/beer/profile/19247/54854
OMB Copper,The Olde Mecklenburg Brewery,"Charlotte, NC",54,91,4.09,134,100,Altbier,4.80%,http://beeradvocate.com/beer/profile/19247/49474
The People's Pint Imperial Stout,The People's Pint,"Greenfield, MA",101,87,3.86,121,100,Russian Imperial Stout,9.20%,http://beeradvocate.com/beer/profile/231/20964
Leather Lips IPA,The Tap Brewing Company,"Haverhill, MA",130,89,3.96,340,95,American IPA,5.00%,http://beeradvocate.com/beer/profile/3185/16779
Thomas Hooker Liberator Doppelbock,Thomas Hooker Brewing Company,"Bloomfield, CT",95,94,4.24,584,100,Doppelbock,8.50%,http://beeradvocate.com/beer/profile/696/15589
Thomas Hooker Munich-Style Lager,Thomas Hooker Brewing Company,"Bloomfield, CT",95,89,3.99,146,96,Munich Helles Lager,4.80%,http://beeradvocate.com/beer/profile/696/12993
Loopy Oatmeal Red Ale,Three Heads Brewing,"Rochester, NY",55,86,3.84,73,90,American Amber / Red Ale,6.60%,http://beeradvocate.com/beer/profile/24355/77311
The Kind IPA,Three Heads Brewing,"Rochester, NY",55,84,3.74,210,89,American IPA,6.80%,http://beeradvocate.com/beer/profile/24355/64139
Throwback Spicy Bohemian,Throwback Brewery,"North Hampton, NH",64,86,3.88,19,90,Chile Beer,4.80%,http://beeradvocate.com/beer/profile/24690/72467
Julius,Tree House Brewing Company,"Brimfield, MA",52,97,4.47,57,100,American IPA,6.50%,http://beeradvocate.com/beer/profile/28743/86237
Fort Point Pale Ale,Trillium Brewing Company,"Boston, MA",128,91,4.32,14,92,American Pale Ale (APA),6.60%,http://beeradvocate.com/beer/profile/30654/88949
Trillium,Trillium Brewing Company,"Boston, MA",128,90,4.22,16,95,Saison / Farmhouse Ale,6.40%,http://beeradvocate.com/beer/profile/30654/88948
Headwall Alt,Tuckerman Brewing Co.,"Conway, NH",26,84,3.74,113,88,Altbier,4.75%,http://beeradvocate.com/beer/profile/624/22919
Tuckerman's Pale Ale,Tuckerman Brewing Co.,"Conway, NH",26,80,3.52,192,68,American Pale Ale (APA),5.50%,http://beeradvocate.com/beer/profile/624/1668
Cockeyed Cooper,Uinta Brewing Company,"Salt Lake City, UT",49,88,3.94,444,90,American Barleywine,11.10%,http://beeradvocate.com/beer/profile/1416/58868
Hop Notch IPA,Uinta Brewing Company,"Salt Lake City, UT",49,89,3.98,1086,95,American IPA,7.30%,http://beeradvocate.com/beer/profile/1416/73764
Hop Devil Ale,Victory Brewing Company,"Downingtown, PA",25,92,4.11,4142,99,American IPA,6.70%,http://beeradvocate.com/beer/profile/345/1005
Prima Pils,Victory Brewing Company,"Downingtown, PA",25,91,4.08,3121,91,German Pilsener,5.30%,http://beeradvocate.com/beer/profile/345/1010
Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",28,81,3.58,188,80,American IPA,6.00%,http://beeradvocate.com/beer/profile/20/66886
Wachusett Blueberry Ale,Wachusett Brewing Company,"Westminster, MA",28,78,3.39,239,60,Fruit / Vegetable Beer,4.40%,http://beeradvocate.com/beer/profile/20/2190
Wachusett Larry,Wachusett Brewing Company,"Westminster, MA",28,91,4.06,403,89,American Double / Imperial IPA,8.50%,http://beeradvocate.com/beer/profile/20/51428
Squatters Hop Rising Double IPA,Wasatch Brew Pub,"Park City, UT",138,86,3.84,331,80,American Double / Imperial IPA,9.00%,http://beeradvocate.com/beer/profile/7402/51785
Wasatch Polygamy Porter,Wasatch Brew Pub,"Park City, UT",138,75,3.27,294,75,American Porter,4.00%,http://beeradvocate.com/beer/profile/7402/1683
Blithering Idiot,Weyerbacher Brewing Co.,"Easton, PA",50,83,3.67,1272,65,English Barleywine,11.10%,http://beeradvocate.com/beer/profile/392/1566
Double Simcoe IPA,Weyerbacher Brewing Co.,"Easton, PA",50,92,4.1,2083,90,American Double / Imperial IPA,9.00%,http://beeradvocate.com/beer/profile/392/30288
Merry Monks' Ale,Weyerbacher Brewing Co.,"Easton, PA",50,87,3.85,1165,90,Tripel,9.30%,http://beeradvocate.com/beer/profile/392/6073
Citra Blonde Summer Brew,Widmer Brothers Brewing Company,"Portland, OR",66,82,3.6,199,86,American Blonde Ale,4.30%,http://beeradvocate.com/beer/profile/8/68601
Marionberry Hibiscus Gose,Widmer Brothers Brewing Company,"Portland, OR",66,78,3.39,103,79,Gose,5.50%,http://beeradvocate.com/beer/profile/8/80684
Pitch Black IPA,Widmer Brothers Brewing Company,"Portland, OR",66,86,3.81,612,89,American Black Ale,6.50%,http://beeradvocate.com/beer/profile/8/54262
Be Hoppy,Wormtown Brewing Co.,"Worcester, MA",96,94,4.27,175,100,American IPA,6.50%,http://beeradvocate.com/beer/profile/22200/57223
