Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Ommegang Witte,Brewery Ommegang,"Cooperstown, NY",6,85,3.78,1175,78,Witbier,5.20%,http://beeradvocate.com/beer/profile/42/16506
Rare Vos (Amber Ale),Brewery Ommegang,"Cooperstown, NY",6,91,4.07,1720,98,Belgian Pale Ale,6.50%,http://beeradvocate.com/beer/profile/42/593
Brooklyn Local 1,Brooklyn Brewery,"Brooklyn, NY",7,92,4.13,1363,100,Belgian Strong Pale Ale,9.00%,http://beeradvocate.com/beer/profile/45/35328
Brooklyn Silver Anniversary Lager,Brooklyn Brewery,"Brooklyn, NY",7,88,3.93,162,89,Doppelbock,9.00%,http://beeradvocate.com/beer/profile/45/90825
Brooklyn Sorachi Ace,Brooklyn Brewery,"Brooklyn, NY",7,92,4.14,1130,94,Saison / Farmhouse Ale,7.60%,http://beeradvocate.com/beer/profile/45/51480
Brooklyn Summer Ale,Brooklyn Brewery,"Brooklyn, NY",7,81,3.59,848,80,English Pale Ale,5.00%,http://beeradvocate.com/beer/profile/45/32631
Hefeweizen,Cambridge Brewing Company,"Cambridge, MA",122,91,4.15,54,93,Hefeweizen,6.00%,http://beeradvocate.com/beer/profile/14/507
Cape Cod IPA,Cape Cod Beer,"Hyannis, MA",85,85,3.79,75,83,American IPA,6.00%,http://beeradvocate.com/beer/profile/9602/17593
Baggywrinkle Barleywine,Cisco Brewers Inc.,"Nantucket, MA",21,80,3.49,106,83,English Barleywine,12.00%,http://beeradvocate.com/beer/profile/261/2237
Summer Of Lager,Cisco Brewers Inc.,"Nantucket, MA",21,84,3.7,145,84,Munich Helles Lager,5.60%,http://beeradvocate.com/beer/profile/261/925
Whale's Tale Pale Ale,Cisco Brewers Inc.,"Nantucket, MA",21,83,3.69,656,87,English Pale Ale,5.60%,http://beeradvocate.com/beer/profile/261/1439
Tramp Stamp,Clown Shoes,"Ipswich, MA",139,88,3.92,562,70,Belgian IPA,7.00%,http://beeradvocate.com/beer/profile/22951/65325
Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.,"Newport, RI",44,74,3.2,176,64,American Amber / Red Ale,5.20%,http://beeradvocate.com/beer/profile/688/3153
Newport Storm India Point Ale,Coastal Extreme Brewing Co.,"Newport, RI",44,87,3.96,20,90,American IPA,6.50%,http://beeradvocate.com/beer/profile/688/85241
Newport Storm Rhode Island Blueberry,Coastal Extreme Brewing Co.,"Newport, RI",44,77,3.34,81,70,Fruit / Vegetable Beer,4.60%,http://beeradvocate.com/beer/profile/688/31193
Newport Storm Summer Hefeweizen,Coastal Extreme Brewing Co.,"Newport, RI",44,77,3.17,14,80,Hefeweizen,4.50%,http://beeradvocate.com/beer/profile/688/80618
Geary's Hampshire Special Ale,D.L. Geary Brewing Company,"Portland, ME",15,89,3.96,450,98,English Strong Ale,7.00%,http://beeradvocate.com/beer/profile/62/1630
Geary's London Porter,D.L. Geary Brewing Company,"Portland, ME",15,85,3.76,210,92,English Porter,4.20%,http://beeradvocate.com/beer/profile/62/193
Geary's Summer Ale,D.L. Geary Brewing Company,"Portland, ME",15,83,3.65,203,92,K̦lsch,6.00%,http://beeradvocate.com/beer/profile/62/1136
The Citizen,DC Brau Brewing Co.,"Washington, DC",59,81,3.57,118,86,Belgian Pale Ale,7.00%,http://beeradvocate.com/beer/profile/25327/70998
The Corruption,DC Brau Brewing Co.,"Washington, DC",59,89,3.98,243,93,American IPA,6.50%,http://beeradvocate.com/beer/profile/25327/69290
The Public Ale,DC Brau Brewing Co.,"Washington, DC",59,88,3.91,215,95,American Pale Ale (APA),6.00%,http://beeradvocate.com/beer/profile/25327/68154
Burton Baton,Dogfish Head Brewery,"Milton, DE",51,94,4.24,3561,92,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/64/18862
Festina P̻che,Dogfish Head Brewery,"Milton, DE",51,82,3.63,2123,94,Berliner Weissbier,4.50%,http://beeradvocate.com/beer/profile/64/35720
Robert Johnson's Hellhound On My Ale,Dogfish Head Brewery,"Milton, DE",51,88,3.92,1205,93,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/64/67219
Sixty-One (61),Dogfish Head Brewery,"Milton, DE",51,81,3.57,562,90,American IPA,6.50%,http://beeradvocate.com/beer/profile/64/91677
Tweason'ale,Dogfish Head Brewery,"Milton, DE",51,71,3.08,734,83,Fruit / Vegetable Beer,6.00%,http://beeradvocate.com/beer/profile/64/70602
Dark Element,Element Brewing Company,"Millers Falls, MA",133,91,4.08,115,90,American Black Ale,8.00%,http://beeradvocate.com/beer/profile/22202/58887
Extra Special Oak (ESO),Element Brewing Company,"Millers Falls, MA",133,87,3.89,55,94,English Strong Ale,7.75%,http://beeradvocate.com/beer/profile/22202/58246
Red Giant,Element Brewing Company,"Millers Falls, MA",133,89,4.03,70,97,American Amber / Red Ale,8.00%,http://beeradvocate.com/beer/profile/22202/56425
Summer Pilsner Fusion,Element Brewing Company,"Millers Falls, MA",133,87,3.94,21,95,American Double / Imperial Pilsner,8.80%,http://beeradvocate.com/beer/profile/22202/69030
Raging Bitch Belgian-Style IPA,Flying Dog Brewery,"Frederick, MD",22,89,3.95,2101,72,Belgian IPA,8.30%,http://beeradvocate.com/beer/profile/68/52855
Single Hop Imperial IPA (Citra),Flying Dog Brewery,"Frederick, MD",22,91,4.11,110,88,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/68/82934
Raincloud Robust Porter,Foolproof Brewing Company,"Pawtucket, RI",90,88,4.05,24,85,American Porter,6.50%,http://beeradvocate.com/beer/profile/30340/89974
Bourbon County Brand Stout,Goose Island Beer Co.,"Chicago, IL",143,100,4.54,4487,95,American Double / Imperial Stout,15.00%,http://beeradvocate.com/beer/profile/1146/10672
India Pale Ale,Goose Island Beer Co.,"Chicago, IL",143,86,3.82,1975,86,English India Pale Ale (IPA),5.90%,http://beeradvocate.com/beer/profile/1146/3968
Matilda,Goose Island Beer Co.,"Chicago, IL",143,90,4.03,2194,99,Belgian Strong Pale Ale,7.00%,http://beeradvocate.com/beer/profile/1146/4318
Colette Farmhouse Ale,Great Divide Brewing Company,"Denver, CO",73,86,3.84,654,93,Saison / Farmhouse Ale,7.30%,http://beeradvocate.com/beer/profile/158/49374
Titan IPA,Great Divide Brewing Company,"Denver, CO",73,92,4.12,2384,100,American IPA,7.10%,http://beeradvocate.com/beer/profile/158/11922
